term,estimate,std_error,statistic,p_value,conf_low,conf_high,tau,gear,effort_type
coefficient,-0.005679819906616287,0.0010430461004488376,-5.445415983217022,1.3549638544496645e-7,-0.007735257985095842,-0.0036243818281367322,0.6,trawlers,total_f_hours_length
intercept,2.1625111479115895,0.1362505908214283,15.871572628597283,0,1.89401424018221,2.431008055640969,0.7,trawlers,total_f_hours_length
coefficient,-0.008107076823935792,0.0012066306293503368,-6.718772610886508,1.4956724747605676e-10,-0.010484876368135408,-0.0057292772797361766,0.7,trawlers,total_f_hours_length
intercept,2.6522475912449415,0.16568771471543758,16.007509040728078,0,2.325741564506699,2.978753617983184,0.8,trawlers,total_f_hours_length
coefficient,-0.012024098780851184,0.0022133978917129775,-5.432416297977756,1.4451362639888998e-7,-0.016385844927541637,-0.007662352634160731,0.8,trawlers,total_f_hours_length
intercept,2.96416931371481,0.273129198846878,10.852626984698865,0,2.4259379206700458,3.5024007067595746,0.9,trawlers,total_f_hours_length
coefficient,-0.011297039363697671,0.004039327669052703,-2.7967623053336093,0.005610546937558247,-0.019256982743816983,-0.0033370959835783594,0.9,trawlers,total_f_hours_length
intercept,1.711421996263679,0.25430352048037386,6.729839968518092,1.4040368867540565e-10,1.210288691358135,2.212555301169223,0.2,trawlers,total_f_hours_tonnage
coefficient,4.6575023305692134e-5,5.9379526821097145e-5,0.7843616444775094,0.4336566132373949,-7.043892311303364e-5,1.635889697244179e-4,0.2,trawlers,total_f_hours_tonnage
intercept,2.5709728115091792,0.0796525687402778,32.277337092446075,0,2.4140085864696283,2.72793703654873,0.5,trawlers,total_f_hours_tonnage
coefficient,3.1834167657826106e-5,2.3591195406048342e-5,1.3494088413029048,0.17856796192272917,-1.4654900594840455e-5,7.832323591049267e-5,0.5,trawlers,total_f_hours_tonnage
intercept,2.7495398192535268,0.06919303478160153,39.73723407178306,0,2.6131872664809657,2.885892372026088,0.6,trawlers,total_f_hours_tonnage
coefficient,2.5303082800853754e-5,1.5797984672242203e-5,1.6016652329909176,0.11063891790785663,-5.828598957593845e-6,5.643476455930135e-5,0.6,trawlers,total_f_hours_tonnage
intercept,2.9078244853203405,0.06746431049861322,43.10167055483526,0,2.77487857556856,3.040770395072121,0.7,trawlers,total_f_hours_tonnage
coefficient,1.6733964308242426e-5,1.4687649051118336e-5,1.1393221781104772,0.25578569287676367,-1.220967790471608e-5,4.567760652120093e-5,0.7,trawlers,total_f_hours_tonnage
intercept,3.1312918035259765,0.06775294757169842,46.21631848876153,0,2.9977771023941937,3.2648065046577592,0.8,trawlers,total_f_hours_tonnage
coefficient,6.100234332230465e-6,1.043096655620748e-5,0.5848196616640677,0.5592575779418683,-1.4455142698324158e-5,2.6655611362785088e-5,0.8,trawlers,total_f_hours_tonnage
intercept,3.3595919724351133,0.17229652183144256,19.49889607012379,0,3.02006255795426,3.6991213869159667,0.9,trawlers,total_f_hours_tonnage
coefficient,-1.2788382631434195e-5,2.7772437758355357e-5,-0.46047029586327193,0.6456253866044825,-6.751705289458239e-5,4.1940287631714e-5,0.9,trawlers,total_f_hours_tonnage
intercept,1.8751750359123247,0.2127146258950978,8.81544946907922,4.440892098500626e-16,1.4559972625366566,2.294352809287993,0.2,trawlers,total_f_hours_kw
coefficient,4.412531561128799e-5,5.699451196228298e-5,0.774202885367079,0.4396271924408195,-6.818869438426658e-5,1.5643932560684257e-4,0.2,trawlers,total_f_hours_kw
intercept,2.8217895621415616,0.0804287261697092,35.08434979048934,0,2.663295832764032,2.980283291519091,0.5,trawlers,total_f_hours_kw
coefficient,-1.740730797265923e-5,2.3221297136487463e-5,-0.749626856344181,0.4542660272061103,-6.316745064083633e-5,2.835283469551787e-5,0.5,trawlers,total_f_hours_kw
intercept,2.932831203247573,0.07281009144621507,40.28055926030611,0,2.7893508389647965,3.07631156753035,0.6,trawlers,total_f_hours_kw
coefficient,4.778644558752723e-6,2.3520564627984306e-5,0.20316878588310697,0.839187543360429,-4.157123790846966e-5,5.112852702597511e-5,0.6,trawlers,total_f_hours_kw
intercept,3.1883849968459113,0.09193963129671066,34.67911445670527,0,3.007207751652903,3.3695622420389193,0.7,trawlers,total_f_hours_kw
coefficient,-5.572429956225391e-5,3.555416136462302e-5,-1.5673073818498366,0.11845441454182914,-1.2578771966018218e-4,1.4339120535674343e-5,0.7,trawlers,total_f_hours_kw
intercept,3.3602164415014064,0.10339794623057415,32.49790314024449,0,3.156459315303964,3.5639735676988487,0.8,trawlers,total_f_hours_kw
coefficient,-1.0462727143313319e-5,4.584668569648937e-5,-0.22821119966179984,0.8196902430703221,-1.0080870850703017e-4,7.988325422040354e-5,0.8,trawlers,total_f_hours_kw
intercept,3.82938145135752,0.21431133646980738,17.868310255706007,0,3.407057182621621,4.251705720093419,0.9,trawlers,total_f_hours_kw
coefficient,-5.7803558199935976e-5,2.6519018021269496e-5,-2.179702059615285,0.030321840181667614,-1.1006222579032073e-4,-5.544890609551222e-6,0.9,trawlers,total_f_hours_kw
